lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
5160.499781079411,0.5761025894,5159.897366258511,5160.930111826728,1.0
5178.004731227813,0.4766928725,5177.4002729533995,5178.436521701628,1.0
5187.351121675292,0.4964978209,5186.745572342964,5187.783691538577,1.0
5211.842381835468,0.7509817218,5211.233973497476,5212.276994009136,1.0
5211.842694606467,0.7404651626,5211.234286231964,5212.277306806218,1.0
5214.14289399847,0.1505171283,5213.534217108461,5214.577698010363,1.0
5218.847218937565,0.7260954309,5218.237992884649,5219.28241524008,1.0
5221.155862669664,0.383322016,5220.546367115487,5221.59125148849,1.0
5224.641106867124,0.3332761038,5224.031204460346,5225.076786318215,1.0
5226.985909325404,0.712482097,5226.375733196348,5227.421784308059,1.0
5229.835996104182,0.5277689955,5229.225487268104,5230.272108753736,1.0
5234.4049028196205,0.77462747,5233.793860628783,5234.841396467357,1.0
5236.086335352246,0.5840441374,5235.475096878117,5236.522969213557,1.0
5240.426014595766,0.228206248,5239.8142695259185,5240.863010340128,1.0
5243.956261420846,0.6983585246,5243.344104244982,5244.393551550214,1.0
5248.515774888942,0.6942206061,5247.903085454846,5248.953445233196,1.0
5249.032353955584,0.7281502732,5248.419604218242,5249.470067377033,1.0
5249.03261649443,0.7140911689,5248.419866726441,5249.4703299377725,1.0
5250.565058375118,0.2872070234,5249.952129716373,5251.0028996078,1.0
5250.565497256748,0.2948065545,5249.952568546771,5251.0033385260285,1.0
5251.675281204916,0.6770261873,5251.062222943476,5252.113215018364,1.0
5252.111882609255,0.7526915028,5251.498773380821,5252.5498528306125,1.0
5252.116954470761,0.736112116,5251.503844650259,5252.554925115057,1.0
5254.928786202731,0.6436326614,5254.31534814094,5255.366991323861,1.0
5254.929100918382,0.6320912119,5254.315662819851,5255.367306065757,1.0
5258.399063506233,0.1376646197,5257.785220339011,5258.837558011548,1.0
5258.399991375861,0.1374747059,5257.786148100324,5258.83848595855,1.0
5261.8502129851895,0.3504098358,5261.235966945439,5262.288995279634,1.0
5271.0099781797135,0.7564277979,5270.394662867889,5271.449524301068,1.0
5280.254213083292,0.0873762502,5279.6378186387565,5280.6945300754305,1.0
5286.601574245932,0.283504354,5285.98443883742,5287.042420540423,1.0
5288.650836639257,0.1348809346,5288.03346200856,5289.091853820417,1.0
5294.058236200333,0.3066295458,5293.440230332783,5294.499704301054,1.0
5296.7904309151145,0.3098760548,5296.172106102761,5297.232126851789,1.0
5296.790643054061,0.3005206794,5296.1723182169435,5297.232339008426,1.0
5298.172051506433,0.7630474634,5297.553565409561,5298.613862655558,1.0
5298.172397158665,0.7515843923,5297.553911021444,5298.614208336614,1.0
5302.224948847616,0.6052877612,5301.605989632727,5302.667097965235,1.0
5302.2250605506915,0.5930528016,5301.606101322763,5302.667209677626,1.0
5303.781143277881,0.741461254,5303.162002399466,5304.22342216555,1.0
5303.781457129941,0.7365234499,5303.162316214888,5304.223736043782,1.0
5305.658942188439,0.1741076414,5305.039582103756,5306.101377664548,1.0
5305.659883548976,0.1789465943,5305.0405233544025,5306.102319103583,1.0
5307.343461090639,0.1806925563,5306.723904362375,5307.786037037691,1.0
5312.1719195236565,0.0792097587,5311.551799141668,5312.614898112743,1.0
5314.338398623499,0.2165798084,5313.718025335946,5314.78155787388,1.0
5315.061404636137,0.2422914234,5314.440946947933,5315.504624177523,1.0
5320.2518142810195,0.1818794547,5319.630750686444,5320.695466647317,1.0
5322.5922237582745,0.3940384038,5321.970886954239,5323.036071289807,1.0
5323.5272206940435,0.5923360476,5322.905774742439,5323.971146194368,1.0
5327.038213612885,0.306950508,5326.416357802882,5327.482431892643,1.0
5331.479932017066,0.4912574859,5330.857557699727,5331.924520688857,1.0
5332.946777214451,0.1566141245,5332.324231663835,5333.391488205516,1.0
5334.391242195176,0.7237987334,5333.768528023856,5334.836073639245,1.0
5338.275429170032,0.5665591958,5337.652261575225,5338.720584513946,1.0
5341.4197923866695,0.736877647,5340.796257732259,5341.865209937003,1.0
5341.419912704253,0.743681971,5340.796378035797,5341.865330264621,1.0
5347.291109804739,0.8041955394,5346.666889757676,5347.737016960445,1.0
5347.29145382918,0.7949315348,5346.667233741957,5347.737361013573,1.0
5352.557843135144,0.101423632,5351.933008272007,5353.004189480344,1.0
5353.534380292505,0.2030883395,5352.909431432568,5353.980808070509,1.0
5359.607799066438,0.119727538,5358.982141221396,5360.054733302914,1.0
5360.689710648187,0.0855601525,5360.063926505384,5361.136735104573,1.0
5366.896091907142,0.6430963741,5366.2695832577565,5367.343633909657,1.0
5371.46259822297,0.7244514533,5370.835556499037,5371.9105210235,1.0
5378.328745390696,0.1775554047,5377.700902141913,5378.777240754808,1.0
5379.1089754333725,0.378204174,5378.481041103849,5379.557535860365,1.0
5381.075049975631,0.5592736749,5380.446886134919,5381.523774352311,1.0
5384.873586894655,0.7460266124,5384.244979628879,5385.322628028878,1.0
5387.833377253035,0.3365081831,5387.204424473907,5388.282665202266,1.0
5390.9830323346705,0.6362693041,5390.353711878189,5391.432582931607,1.0
5390.983291294153,0.6250443055,5390.353970807442,5391.432841912684,1.0
5394.672376555002,0.7358624589,5394.04262542015,5395.122234803973,1.0
5394.672600188865,0.7293337492,5394.042849027906,5395.122458456484,1.0
5427.761169015993,0.1206184259,5427.127555236081,5428.213786518019,1.0
5446.562104960157,0.6906302274,5445.926296438856,5447.016290260101,1.0
5446.562323961408,0.6983150432,5445.926515414541,5447.016509279614,1.0
5453.6026211601575,0.1278901026,5452.965990758906,5454.057393564205,1.0
5469.625507675579,0.1210323778,5468.987006830626,5470.081616217795,1.0
5475.42566390075,0.6083913422,5474.7864859702,5475.882256114252,1.0
5491.680079654229,0.2931810565,5491.039004252239,5492.138027312974,1.0
5491.6804858997975,0.28277219,5491.039410450384,5492.138433592419,1.0
5493.362357236797,0.132355319,5492.7210854528685,5493.820445179584,1.0
5493.362460316919,0.1283503562,5492.721188520957,5493.820548268302,1.0
5503.000299587644,0.7828570387,5502.357902711271,5503.459191232226,1.0
5504.60066660985,0.3875208115,5503.95808291343,5505.059691708006,1.0
5508.314911457151,0.803411401,5507.671894175565,5508.774246283787,1.0
5514.514599619698,0.6214769852,5513.870858612856,5514.974451434331,1.0
5518.296335892634,0.3213576604,5517.652153421965,5518.756503063814,1.0
5521.116127451284,0.1744229014,5520.471615810128,5521.576529763064,1.0
5523.98319351222,0.4112411134,5523.338347181953,5524.443834906789,1.0
5525.516366583745,0.0777259192,5524.871341277367,5525.977135828627,1.0
5528.350548081293,0.5471158013,5527.705191924607,5528.811553666742,1.0
5529.950024076758,0.7582598821,5529.30448120404,5530.411163041477,1.0
5532.331034440377,0.1158865026,5531.685213618624,5532.792371956015,1.0
5533.512929261545,0.1317743176,5532.866970470411,5533.974365334629,1.0
5539.302151384207,0.2523671447,5538.655516783878,5539.764070216789,1.0
